english_sentence,alc_statement
A university designs exclusively dogs.,University ⊑ ∀designs.Dog
"If a company maintains anything, it must be a engineer.",Company ⊑ ∀maintains.Engineer
Anything that designs a product also designs a transaction.,∃designs.Product ⊑ ∃designs.Transaction
Anything that sells a order.,∃sells.Order
All companys are customers as well as patients.,Company ⊑ Customer ⊓ Patient
Every employee is both a product and a teacher.,Employee ⊑ Product ⊓ Teacher
Every machine that creates only doctors is a transaction.,Machine ⊓ ∀creates.Doctor ⊑ Transaction
Anything that supervises a organization.,∃supervises.Organization
"If a product designs anything, it must be a doctor.",Product ⊑ ∀designs.Doctor
Every customer is a city that delivers at least one university.,Customer ⊑ City ⊓ ∃delivers.University
Each order knows a department.,Order ⊑ ∃knows.Department
Whatever is both a building and a account produces a hospital.,Building ⊓ Account ⊑ ∃produces.Hospital
Every person knows only things that are either a dog or a country.,Person ⊑ ∀knows.(Dog ⊔ Country)
Every university uses only things that are either a order or a researcher.,University ⊑ ∀uses.(Order ⊔ Researcher)
A organization cannot be a software.,Organization ⊑ ¬Software
A manager or a company.,Manager ⊔ Company
Every food works for only cars.,Food ⊑ ∀worksFor.Car
All scientists are patients as well as transactions.,Scientist ⊑ Patient ⊓ Transaction
Every building attends only departments.,Building ⊑ ∀attends.Department
Every country that authors a library is a device.,Country ⊓ ∃authors.Library ⊑ Device
A artist is always a course.,Artist ⊑ Course
Every car that uses a device is a machine.,Car ⊓ ∃uses.Device ⊑ Machine
Whatever is both a course and a researcher develops a dog.,Course ⊓ Researcher ⊑ ∃develops.Dog
Every student delivers something that is both a person and a service.,Student ⊑ ∃delivers.(Person ⊓ Service)
Every researcher creates only things that are either a vehicle or a publication.,Researcher ⊑ ∀creates.(Vehicle ⊔ Publication)
Every person that is located in a organization is a account.,Person ⊓ ∃locatedIn.Organization ⊑ Account
Every country buys only plants.,Country ⊑ ∀buys.Plant
Every building creates something that is both a manager and a food.,Building ⊑ ∃creates.(Manager ⊓ Food)
All services are researchers as well as transactions.,Service ⊑ Researcher ⊓ Transaction
Every customer that likes a person is a organization.,Customer ⊓ ∃likes.Person ⊑ Organization
A hardware is something that develops a machine.,Hardware ⊑ ∃develops.Machine
A food or a product.,Food ⊔ Product
Every building supervises only things that are either a transaction or a order.,Building ⊑ ∀supervises.(Transaction ⊔ Order)
Every country teaches at least one building.,Country ⊑ ∃teaches.Building
"If a plant uses anything, it must be a publication.",Plant ⊑ ∀uses.Publication
Every cat is a music that develops only publications.,Cat ⊑ Music ⊓ ∀develops.Publication
A animal is something that authors a cat.,Animal ⊑ ∃authors.Cat
A engineer sells exclusively softwares.,Engineer ⊑ ∀sells.Software
Every publication uses only machines.,Publication ⊑ ∀uses.Machine
Anything that produces a service.,∃produces.Service
Every company that has child only projects is a course.,Company ⊓ ∀hasChild.Project ⊑ Course
A manager is something that operates a library.,Manager ⊑ ∃operates.Library
All invoices are defined as a bank or a teacher.,Invoice ⊑ Bank ⊔ Teacher
Nothing that is a scientist is a software.,Scientist ⊑ ¬Software
Every order is both a music and a school.,Order ⊑ Music ⊓ School
All customers are teachers as well as employees.,Customer ⊑ Teacher ⊓ Employee
A animal cannot be a invoice.,Animal ⊑ ¬Invoice
A teacher works for exclusively citys.,Teacher ⊑ ∀worksFor.City
All books are citys as well as employees.,Book ⊑ City ⊓ Employee
"If a bank owns anything, it must be a book.",Bank ⊑ ∀owns.Book
Every patient is both a student and a doctor.,Patient ⊑ Student ⊓ Doctor
Every university has child something that is both a country and a movie.,University ⊑ ∃hasChild.(Country ⊓ Movie)
Every plant operates at least one country.,Plant ⊑ ∃operates.Country
Every hospital is either a cat or a school.,Hospital ⊑ Cat ⊔ School
All organizations are defined as a publication or a bank.,Organization ⊑ Publication ⊔ Bank
A device cannot be a supplier.,Device ⊑ ¬Supplier
A company is always a book.,Company ⊑ Book
Each country delivers a plant.,Country ⊑ ∃delivers.Plant
Every vehicle buys only dogs.,Vehicle ⊑ ∀buys.Dog
A software uses exclusively books.,Software ⊑ ∀uses.Book
Each account owns a doctor.,Account ⊑ ∃owns.Doctor
Every order is either a plant or a supplier.,Order ⊑ Plant ⊔ Supplier
A city is something that operates a movie.,City ⊑ ∃operates.Movie
Every device that designs a plant is a account.,Device ⊓ ∃designs.Plant ⊑ Account
Each music likes a software.,Music ⊑ ∃likes.Software
Every customer is a teacher that manages only banks.,Customer ⊑ Teacher ⊓ ∀manages.Bank
Anything that designs only machines.,∀designs.Machine
A publication is something that maintains a country.,Publication ⊑ ∃maintains.Country
A artist or a building.,Artist ⊔ Building
Nothing that is a machine is a book.,Machine ⊑ ¬Book
"If a organization uses anything, it must be a publication.",Organization ⊑ ∀uses.Publication
Anything that develops a food also develops a researcher.,∃develops.Food ⊑ ∃develops.Researcher
Each book develops a order.,Book ⊑ ∃develops.Order
Every scientist that has child only employees is a doctor.,Scientist ⊓ ∀hasChild.Employee ⊑ Doctor
A music cannot be a hospital.,Music ⊑ ¬Hospital
A employee is neither a library nor a engineer.,Employee ⊑ ¬(Library ⊔ Engineer)
Anything that has child a transaction also has child a library.,∃hasChild.Transaction ⊑ ∃hasChild.Library
A software and a movie.,Software ⊓ Movie
No publication is a researcher.,Publication ⊑ ¬Researcher
Whatever is both a plant and a transaction authors a customer.,Plant ⊓ Transaction ⊑ ∃authors.Customer
Every animal reads only things that are either a transaction or a company.,Animal ⊑ ∀reads.(Transaction ⊔ Company)
Every department that manages a project is a teacher.,Department ⊓ ∃manages.Project ⊑ Teacher
Every cat attends at least one order.,Cat ⊑ ∃attends.Order
Every city is a scientist that creates at least one vehicle.,City ⊑ Scientist ⊓ ∃creates.Vehicle
All projects are defined as a teacher or a school.,Project ⊑ Teacher ⊔ School
Every software is either a city or a library.,Software ⊑ City ⊔ Library
All employees are persons as well as citys.,Employee ⊑ Person ⊓ City
A library is always a company.,Library ⊑ Company
A plant is neither a employee nor a hospital.,Plant ⊑ ¬(Employee ⊔ Hospital)
All vehicles are defined as a person or a scientist.,Vehicle ⊑ Person ⊔ Scientist
Anything that teaches a city also teaches a department.,∃teaches.City ⊑ ∃teaches.Department
Anything that maintains a machine also maintains a artist.,∃maintains.Machine ⊑ ∃maintains.Artist
Every service is located in something that is both a student and a publication.,Service ⊑ ∃locatedIn.(Student ⊓ Publication)
All books are persons as well as animals.,Book ⊑ Person ⊓ Animal
Every engineer is a person.,Engineer ⊑ Person
No movie is a hardware.,Movie ⊑ ¬Hardware
Every cat is a bank that treats only citys.,Cat ⊑ Bank ⊓ ∀treats.City
A hospital is neither a building nor a artist.,Hospital ⊑ ¬(Building ⊔ Artist)
Every plant is both a hospital and a order.,Plant ⊑ Hospital ⊓ Order
All managers are products as well as suppliers.,Manager ⊑ Product ⊓ Supplier
Every hardware is either a dog or a animal.,Hardware ⊑ Dog ⊔ Animal
A order is something that creates a patient.,Order ⊑ ∃creates.Patient
Every device is both a machine and a vehicle.,Device ⊑ Machine ⊓ Vehicle
Anything that authors a publication also authors a scientist.,∃authors.Publication ⊑ ∃authors.Scientist
Each account works for a employee.,Account ⊑ ∃worksFor.Employee
All patients are defined as a employee or a music.,Patient ⊑ Employee ⊔ Music
Whatever is both a country and a car owns a artist.,Country ⊓ Car ⊑ ∃owns.Artist
A employee sells exclusively orders.,Employee ⊑ ∀sells.Order
Anything that likes only engineers.,∀likes.Engineer
Every department sells only organizations.,Department ⊑ ∀sells.Organization
A vehicle and a account.,Vehicle ⊓ Account
Every publication owns only things that are either a scientist or a teacher.,Publication ⊑ ∀owns.(Scientist ⊔ Teacher)
Each researcher manages a bank.,Researcher ⊑ ∃manages.Bank
A bank buys exclusively foods.,Bank ⊑ ∀buys.Food
Every doctor is a organization that works for only departments.,Doctor ⊑ Organization ⊓ ∀worksFor.Department
Every doctor authors something that is both a invoice and a library.,Doctor ⊑ ∃authors.(Invoice ⊓ Library)
Nothing that is a teacher is a account.,Teacher ⊑ ¬Account
Every library that works for only dogs is a scientist.,Library ⊓ ∀worksFor.Dog ⊑ Scientist
All persons are accounts.,Person ⊑ Account
A supplier and a country.,Supplier ⊓ Country
All vehicles are organizations as well as countrys.,Vehicle ⊑ Organization ⊓ Country
Every device that works for only invoices is a machine.,Device ⊓ ∀worksFor.Invoice ⊑ Machine
All banks are projects as well as courses.,Bank ⊑ Project ⊓ Course
Every artist is a employee.,Artist ⊑ Employee
A course cannot be a product.,Course ⊑ ¬Product
Every city buys only dogs.,City ⊑ ∀buys.Dog
Every employee buys only artists.,Employee ⊑ ∀buys.Artist
"If a dog manages anything, it must be a movie.",Dog ⊑ ∀manages.Movie
All scientists are vehicles.,Scientist ⊑ Vehicle
A food is neither a vehicle nor a teacher.,Food ⊑ ¬(Vehicle ⊔ Teacher)
All machines are teachers.,Machine ⊑ Teacher
Every transaction sells only orders.,Transaction ⊑ ∀sells.Order
Each cat knows a organization.,Cat ⊑ ∃knows.Organization
"If a invoice authors anything, it must be a researcher.",Invoice ⊑ ∀authors.Researcher
"If a movie funds anything, it must be a animal.",Movie ⊑ ∀funds.Animal
Every city is a organization.,City ⊑ Organization
Every vehicle is a car that delivers at least one department.,Vehicle ⊑ Car ⊓ ∃delivers.Department
A customer or a plant.,Customer ⊔ Plant
A school is something that likes a organization.,School ⊑ ∃likes.Organization
A invoice or a book.,Invoice ⊔ Book
Each dog likes a hospital.,Dog ⊑ ∃likes.Hospital
A manager is neither a university nor a food.,Manager ⊑ ¬(University ⊔ Food)
Every transaction develops something that is both a hospital and a supplier.,Transaction ⊑ ∃develops.(Hospital ⊓ Supplier)
Every customer is a plant that develops only accounts.,Customer ⊑ Plant ⊓ ∀develops.Account
All dogs are defined as a machine or a invoice.,Dog ⊑ Machine ⊔ Invoice
Every teacher is a artist.,Teacher ⊑ Artist
Every project is both a product and a dog.,Project ⊑ Product ⊓ Dog
A supplier is located in exclusively companys.,Supplier ⊑ ∀locatedIn.Company
Every publication is a doctor that develops at least one person.,Publication ⊑ Doctor ⊓ ∃develops.Person
Nothing that is a department is a publication.,Department ⊑ ¬Publication
Every country that sells only cats is a plant.,Country ⊓ ∀sells.Cat ⊑ Plant
A artist attends exclusively foods.,Artist ⊑ ∀attends.Food
Each music sells a publication.,Music ⊑ ∃sells.Publication
Every invoice works for at least one teacher.,Invoice ⊑ ∃worksFor.Teacher
All departments are engineers.,Department ⊑ Engineer
"If a manager treats anything, it must be a car.",Manager ⊑ ∀treats.Car
A project is neither a animal nor a movie.,Project ⊑ ¬(Animal ⊔ Movie)
Anything that funds only courses.,∀funds.Course
All accounts are defined as a teacher or a doctor.,Account ⊑ Teacher ⊔ Doctor
Every animal is a device that treats only suppliers.,Animal ⊑ Device ⊓ ∀treats.Supplier
"If a country reads anything, it must be a student.",Country ⊑ ∀reads.Student
